blk_cd,admi_cd,dist_sl,bstop_cnt,tackji_ratio,dist_subway,dist_highway,blk_pop,od_cnt,tackji_ratio2
433672,41590585,100,2,1,2035,2086,106,10,1
433682,41590570,110,1,0,1570,1297,16,14,0
433637,41590520,110,3,0,529,2170,24,42,0
533791,41590570,110,2,0,2388,937,2909,14,0
435287,41590585,100,4,1,1889,2076,98,185,1
57538,41590587,110,3,1,1582,2173,1355,50,1
53663,41590259,150,1,0,13106,2765,0,15,1
345580,41590520,110,2,0.725552454,113,1617,11,7,0.725552454
31592,41590570,110,2,0,1108,863,0,25,0
56675,41590530,110,1,0,533,1947,0,8,0
29329,41590530,110,3,0,720,1725,0,37,0
511282,41590259,150,2,0,12716,3257,0,14,1
538032,41590540,110,3,0,1662,3129,0,35,0.00070163
345620,41590585,100,4,1,1928,1146,0,67,1
435523,41590585,100,3,1,1996,1760,0,21,1
535901,41590515,130,3,1,3850,6213,0,9,1
435099,41590588,110,2,1,977,1541,0,7,1
184612,41590586,110,2,1,1729,1504,0,569,1
435519,41590530,110,2,1,261,1434,0,7,1
535898,41590515,130,3,1,3947,6142,2193,9,1
436137,41590610,110,5,1,3655,3406,0,276,1
435301,41590585,110,4,1,1573,2042,58,51,1
348225,41590587,110,2,1,1364,2020,0,41,1
435387,41590585,110,4,1,1586,2026,107,24,1
536849,41590515,130,3,1,3706,6327,0,9,1
532581,41590610,110,1,1,2838,3831,0,60,1
435272,41590588,110,2,1,896,1609,0,7,1
434952,41590590,110,6,1,1472,1773,0,223,1
532928,41590588,110,5,1,1600,1991,0,279,1
435454,41590590,110,3,1,1662,1552,0,201,1
64606,41590540,110,4,0,1224,2585,0,68,0
345631,41590587,110,3,0,423,1038,0,35,0
435156,41590587,110,1,0,849,1210,0,19,0
532905,41590588,110,4,0.999948614,2264,2712,0,305,0.999948614
433808,41590585,100,2,1,2047,1991,100,10,1
70458,41590587,110,5,1,998,1539,5434,46,1
31614,41590570,110,2,0,2365,672,0,14,0
28995,41590253,110,2,0,4338,962,0,29,0
349680,41590520,110,2,0,1063,2641,75,38,0
433920,41590253,110,6,0,4446,1369,37,35,0
433596,41590520,110,5,0,1058,2726,18,90,0
350598,41590253,110,2,0,5007,986,0,40,0
29664,41590253,110,1,0,4867,490,0,20,0
434093,41590560,110,3,0,3999,1316,0,48,0
434144,41590253,110,3,0,4240,1092,0,37,0
80228,41590560,110,5,0,4169,1685,7,30,0
36225,41590587,110,1,0,934,1363,3760,19,0
435336,41590570,110,2,0,1285,1218,14,25,0
433468,41590253,110,8,0,4583,1277,645,75,0
435284,41590530,110,2,0,428,2083,22,26,0
31088,41590530,110,1,0,797,1774,0,8,0
72595,41590587,110,6,1,664,1337,0,51,1
72594,41590587,110,7,1,702,1338,0,63,1
70581,41590586,110,2,1,1935,1571,0,283,1
434613,41590600,110,1,1,2211,3680,0,69,1
532912,41590600,110,1,1,2145,3646,0,69,1
434619,41590600,110,1,1,2250,3709,0,69,1
511080,41590588,110,1,1,2317,2985,0,101,1
30136,41590310,110,2,0,5425,487,56,6,0
434850,41590590,110,3,1,1896,1964,0,89,1
536977,41590590,110,5,1,1410,1540,0,208,1
532303,41590600,100,1,0,2263,2333,0,10,0.650184291
347538,41590540,110,3,0,1753,2599,0,46,0.227804695
58229,41590310,110,2,0,5203,338,85,6,0
31676,41590586,110,1,1,1944,1638,0,283,1
433659,41590585,100,3,1,1941,2081,43,11,1
345661,41590585,100,4,1,2126,1408,0,90,1
348637,41590587,110,5,1,456,1139,0,46,1
532310,41590600,100,2,1,660,2183,0,19,1
532925,41590253,110,6,0,5367,233,388,24,3.37E-08
348630,41590585,110,3,1,1122,1233,0,301,1
435331,41590585,110,5,1,1603,2092,132,63,1
435332,41590585,110,6,1,1753,2117,0,509,1
