blk_cd,admi_cd,dist_sl,bstop_cnt,tackji_ratio,dist_subway,dist_highway,blk_pop,od_cnt,tackji_ratio2
432718,41117596,100,0,0,1712,4226,0,0,0
31627,41590570,110,2,0,2912,798,37,14,0
535561,41463550,90,0,0,1007,2854,0,0,0
433523,41590520,110,3,0,916,2527,72,63,0
29578,41590253,110,1,0,4841,430,0,20,0
535564,41117593,90,0,0,981,2868,0,0,0
535559,41117593,90,0,0,931,2918,0,0,0
30240,41590310,110,3,0,5595,584,46,26,0
435234,41590530,110,2,0,919,1519,0,29,0
504112,41590587,110,1,0,840,1176,0,19,0
533173,41117593,90,0,0,940,2906,0,0,0
31302,41590560,110,1,0,3895,1433,0,22,0
434188,41590560,110,2,0,4100,1216,0,32,0
434190,41590560,110,2,0,3990,1333,0,32,0
29546,41590253,110,6,0,4435,1230,0,35,0
433750,41590520,110,4,0.134226326,1815,2481,14,58,0.134226326
64539,41590540,110,6,0,1210,2440,0,106,0.034816523
348636,41590585,110,1,1,1739,1586,0,286,1
532302,41590600,110,1,1,1976,3479,0,69,1
33186,41590586,110,2,1,1457,1083,0,283,1
435396,41590530,110,2,0,354,1960,141,12,0
433608,41590520,110,2,0,711,2378,41,38,0
31513,41590560,110,2,0,3874,1434,0,26,0
511083,41590530,110,3,0,281,1739,0,15,0
348773,41590570,110,2,0,1241,1103,17,25,0
433878,41590253,110,3,0,4494,1051,51,25,0
433514,41590253,110,5,0,4892,992,0,86,0
433881,41590253,110,5,0,4627,1011,0,40,0
345612,41590587,110,4,0.98036555,1629,2336,0,59,0.98036555
56667,41590530,110,1,0,641,2298,0,22,0
433682,41590570,110,1,0,1570,1297,16,14,0
433547,41590520,110,3,0,991,2644,51,63,0
346559,41590540,110,1,0,716,2338,0,22,0
249394,41590253,110,3,0,5170,776,0,65,0
433541,41590540,110,3,0,1861,2661,26,22,0
434902,41590590,110,5,1,1661,1852,4363,220,1
5679,41590310,110,1,0,6830,1286,92,1,0
433637,41590520,110,3,0,529,2170,24,42,0
329706,41590253,110,3,0,6148,536,142,148,0
533791,41590570,110,2,0,2388,937,2909,14,0
532918,41590588,110,1,1,901,2003,0,1,1
536882,41590588,110,1,1,1948,2836,0,101,1
349664,41590520,110,2,0,1455,3105,0,31,0.910300023
435223,41590585,110,3,1,1435,1398,0,607,1
30200,41590310,110,3,0,6470,1719,265,18,0
29605,41590253,110,1,0,4916,439,0,20,0
433579,41590520,110,3,0,660,2314,11,42,0
29862,41590256,180,1,0,21426,3851,0,7,0
433546,41590540,110,4,0,1222,2771,0,68,0.912126505
348234,41590587,110,6,1,1430,1958,0,75,1
344066,41590587,110,5,1,784,1148,0,36,1
534719,41117596,100,0,0.273330493,1595,3745,0,0,0.273330493
434397,41590586,110,2,1,2081,1421,0,324,1
29713,41590253,110,1,0,4806,415,0,20,0
433914,41590520,110,2,0,1164,2769,41,41,0
433796,41590570,110,3,0,4328,2128,62,9,0
433797,41590520,110,3,0,811,2479,58,63,0
433558,41590520,110,4,0,1030,2565,250,68,0
354538,41590586,100,1,1,1721,1817,0,324,1
511019,41590588,110,4,1,1976,2575,0,291,1
435392,41590570,110,2,0,1068,1128,0,25,0
29472,41590530,110,2,0,895,1660,0,27,0
31813,41590586,110,2,1,1848,1204,0,324,1
