기간	구분	합계	남자	여자
2020	합계	1,264,573	645,877	618,696
2020	종로구	18,393	9,245	9,148
2020	중구	11,555	5,702	5,853
2020	용산구	25,439	12,931	12,508
2020	성동구	36,750	18,287	18,463
2020	광진구	42,821	21,734	21,087
2020	동대문구	40,702	20,388	20,314
2020	중랑구	46,681	23,865	22,816
2020	성북구	59,138	29,659	29,479
2020	강북구	36,987	18,932	18,055
2020	도봉구	43,127	22,114	21,013
2020	노원구	84,492	43,455	41,037
2020	은평구	62,891	32,363	30,528
2020	서대문구	39,415	19,675	19,740
2020	마포구	46,111	23,023	23,088
2020	양천구	76,505	39,878	36,627
2020	강서구	76,459	38,956	37,503
2020	구로구	50,926	26,115	24,811
2020	금천구	26,028	13,211	12,817
2020	영등포구	39,411	20,497	18,914
2020	동작구	47,392	24,204	23,188
2020	관악구	49,839	25,194	24,645
2020	서초구	69,345	35,200	34,145
2020	강남구	85,727	44,551	41,176
2020	송파구	90,446	46,251	44,195
2020	강동구	57,993	30,447	27,546
